id,position,city,company,salary,experience,education,industry,skills,benefits
1,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
2,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
3,大模型数据训练师,重庆,中国电信重庆分公司,1.1-1.5万,3-5年,本科,通信/网络设备,"医疗类AI训练, 政务类AI训练, 金融类AI训练, AI AGENT, Python",
4,实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
5,长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
6,动力BU-大数据主任工程师(J14807),重庆,赛力斯集团股份有限公司,1.5-2万·13薪,5-10年,本科,汽车研发/制造,"数据治理, 数据建模, 数据库开发",
7,数据分析师 (J10319),重庆,开林企业管理集团有限公司,6000-8000元·13薪,1-3年,大专,互联网,数据治理,
8,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
9,大数据治理开发工程师,重庆,中国电信重庆分公司,1-1.3万,3-5年,本科,通信/网络设备,"数据治理, ETL, 数据中台开发, Sql, Python, Java, Hadoop, Spark, Kafka",
10,大数据工程师,重庆,重庆鸿捷通信科技发展有限公司,6000-12000元,3-5年,本科,运营商/增值服务,数据开发,
11,数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
12,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
13,大数据开发工程师,重庆,重庆学一雅通信设备有限责任公司,8000-12000元,3-5年,本科,运营商/增值服务,"Hadoop, Java, Python, Scala, ETL, 数据挖掘, 数据中台开发","周末双休, 带薪假期, 五险"
14,产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
15,数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
16,双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
17,大数据专业教师,重庆,重庆科技职业学院,4000-7000元,1-3年,硕士,学校/学历教育,"计算机类, 智能控制, 大数据",
18,大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
19,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
20,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
21,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
22,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
23,大模型数据训练师,重庆,中国电信重庆分公司,1.1-1.5万,3-5年,本科,通信/网络设备,"医疗类AI训练, 政务类AI训练, 金融类AI训练, AI AGENT, Python",
24,实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
25,长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
26,动力BU-大数据主任工程师(J14807),重庆,赛力斯集团股份有限公司,1.5-2万·13薪,5-10年,本科,汽车研发/制造,"数据治理, 数据建模, 数据库开发",
27,数据分析师 (J10319),重庆,开林企业管理集团有限公司,6000-8000元·13薪,1-3年,大专,互联网,数据治理,
28,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
29,大数据治理开发工程师,重庆,中国电信重庆分公司,1-1.3万,3-5年,本科,通信/网络设备,"数据治理, ETL, 数据中台开发, Sql, Python, Java, Hadoop, Spark, Kafka",
30,大数据工程师,重庆,重庆鸿捷通信科技发展有限公司,6000-12000元,3-5年,本科,运营商/增值服务,数据开发,
31,数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
32,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
33,大数据开发工程师,重庆,重庆学一雅通信设备有限责任公司,8000-12000元,3-5年,本科,运营商/增值服务,"Hadoop, Java, Python, Scala, ETL, 数据挖掘, 数据中台开发","周末双休, 带薪假期, 五险"
34,产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
35,数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
36,双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
37,大数据专业教师,重庆,重庆科技职业学院,4000-7000元,1-3年,硕士,学校/学历教育,"计算机类, 智能控制, 大数据",
38,大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
39,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
40,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
41,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
42,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
43,大模型数据训练师,重庆,中国电信重庆分公司,1.1-1.5万,3-5年,本科,通信/网络设备,"医疗类AI训练, 政务类AI训练, 金融类AI训练, AI AGENT, Python",
44,实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
45,长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
46,动力BU-大数据主任工程师(J14807),重庆,赛力斯集团股份有限公司,1.5-2万·13薪,5-10年,本科,汽车研发/制造,"数据治理, 数据建模, 数据库开发",
47,数据分析师 (J10319),重庆,开林企业管理集团有限公司,6000-8000元·13薪,1-3年,大专,互联网,数据治理,
48,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
