keyword,name,averSalary,number
python,重庆市,15000,1
python,重庆市,10250,2
python,重庆市,11166,3
python,重庆市,8937,4
python,重庆市,10650,5
python,重庆市,10041,6
python,重庆市,9821,7
python,重庆市,10031,8
python,重庆市,9916,9
python,重庆市,9575,10
python,重庆市,9340,11
python,重庆市,9395,12
python,重庆市,9826,13
python,重庆市,9839,14
python,重庆市,9550,15
python,重庆市,9296,16
python,重庆市,9338,17
python,重庆市,9208,18
python,重庆市,9118,19
python,重庆市,9412,20
python,重庆市,9226,21
python,重庆市,9397,22
python,重庆市,9086,23
python,重庆市,9437,24
python,重庆市,9340,25
python,重庆市,9307,26
python,重庆市,9388,27
python,重庆市,9375,28
python,重庆市,9275,29
python,重庆市,9200,30
python,重庆市,9225,31
python,重庆市,9406,32
python,重庆市,9424,33
python,重庆市,9308,34
python,重庆市,9200,35
python,重庆市,9222,36
python,重庆市,9162,37
python,重庆市,9118,38
python,重庆市,9269,39
python,重庆市,9175,40
python,重庆市,9268,41
python,重庆市,9101,42
python,重庆市,9296,43
python,重庆市,9244,44
python,重庆市,9227,45
python,重庆市,9277,46
python,重庆市,9271,47
python,重庆市,9213,48
python,重庆市,9168,49
python,重庆市,9185,50
python,重庆市,9299,51
python,重庆市,9312,52
python,重庆市,9240,53
python,重庆市,9171,54
python,重庆市,9186,55
python,重庆市,9147,56
python,重庆市,9118,57
python,重庆市,9219,58
python,重庆市,9156,59
python,重庆市,9220,60
python,重庆市,9106,61
python,重庆市,9241,62
python,重庆市,9206,63
python,重庆市,9195,64
python,重庆市,9230,65
python,重庆市,9227,66
python,重庆市,9186,67
python,重庆市,9154,68
python,重庆市,9166,69
python,重庆市,9250,70
python,重庆市,9260,71
python,重庆市,9208,72
python,重庆市,9157,73
python,重庆市,9168,74
python,重庆市,9140,75
python,重庆市,9118,76
python,重庆市,9064,77
python,重庆市,9025,78
python,重庆市,9006,79
python,重庆市,9018,80
python,重庆市,8975,81
python,重庆市,8926,82
python,重庆市,8963,83
python,重庆市,8928,84
python,重庆市,8894,85
python,重庆市,8901,86
python,重庆市,8925,87
python,重庆市,8875,88
python,重庆市,8859,89
python,重庆市,8855,90
python,重庆市,8818,91
python,重庆市,8782,92
python,重庆市,8741,93
python,重庆市,8792,94
python,重庆市,8757,95
python,重庆市,8802,96
python,重庆市,8802,96
python,北京市,15000,1
python,重庆市,8802,96
python,北京市,15000,1
python,广东省,32500,1
python,重庆市,8802,96
python,北京市,15000,1
python,广东省,32500,1
python,浙江省,6500,1
python,重庆市,8802,96
python,北京市,15000,1
python,广东省,32500,1
python,浙江省,6500,1
python,四川省,11000,1
python,重庆市,8802,96
python,北京市,15000,1
python,广东省,32500,1
python,浙江省,6500,1
python,四川省,11000,1
python,上海市,16500,1
python,重庆市,8802,96
python,北京市,15000,1
python,广东省,32500,1
python,浙江省,6500,1
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,重庆市,8802,96
python,北京市,17500,2
python,广东省,32500,1
python,浙江省,6500,1
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,重庆市,8802,96
python,北京市,17500,2
python,广东省,32000,2
python,浙江省,6500,1
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,重庆市,8802,96
python,北京市,17500,2
python,广东省,28500,3
python,浙江省,6500,1
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,重庆市,8773,97
python,北京市,17500,2
python,广东省,28500,3
python,浙江省,6500,1
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,重庆市,8773,97
python,北京市,17500,2
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,重庆市,8773,97
python,北京市,17500,2
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,8500,1
python,重庆市,8773,97
python,北京市,17500,2
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,11000,1
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,重庆市,8773,97
python,北京市,17500,2
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,12750,2
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,重庆市,8773,97
python,北京市,17500,2
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,12750,2
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,10500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,12750,2
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,10500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13333,3
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,10500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13333,3
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,10500,1
python,贵州省,7000,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13333,3
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,10500,1
python,贵州省,7000,1
python,天津市,1500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13625,4
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,10500,1
python,贵州省,7000,1
python,天津市,1500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13625,4
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,10500,1
python,贵州省,5750,2
python,天津市,1500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13625,4
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,9000,2
python,贵州省,5750,2
python,天津市,1500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13800,5
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,11250,2
python,河南省,9000,2
python,贵州省,5750,2
python,天津市,1500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13800,5
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,9000,2
python,贵州省,5750,2
python,天津市,1500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13800,5
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,9000,2
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,7500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13800,5
python,上海市,16500,1
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,9000,2
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,7500,1
python,吉林省,14500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13800,5
python,上海市,18250,2
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,9000,2
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,7500,1
python,吉林省,14500,1
python,重庆市,8773,97
python,北京市,13916,3
python,广东省,28500,3
python,浙江省,9000,2
python,四川省,13800,5
python,上海市,18250,2
python,江苏省,15000,1
