职位,城市,公司,薪资,经验,学历,领域,技能,福利
数据分析员,重庆,立信(重庆)数据科技股份有限公司,5000-10000元,3-5年,本科,咨询服务,"数据统计分析, 市场研究","五险一金, 绩效奖金, 带薪假期, 节日福利, 周末双休, 全勤奖金, 十三薪"
金融投研数据分析,重庆,北京睿然商务有限公司,1-1.5万,3-5年,本科,电子商务,保险数据分析,
医学标注数据分析朝九晚六周末双休五险一金,重庆,山东易途人力资源有限公司,5000-7000元,经验不限,本科,人力资源服务,临床数据分析,"周末双休, 住房补贴, 绩效奖金, 五险一金"
全国均有岗位（开发、测试、算法、数据分析等）,重庆,外企德科数字技术有限公司,1.5-3万·16薪,经验不限,本科,人力资源服务,"JavaScript, C++, Python, Spring, Hibernate, MySQL, PostgreSQL, Oracle","五险一金, 带薪假期, 周末双休, 五险, 免费班车, 交通补贴, 年终奖金, 绩效奖金, 项目奖金"
数据分析检测/包三餐/质量测试/月休8天/上班带手机,重庆,平邑鑫程人力资源有限公司,9000-11000元·13薪,经验不限,学历不限,新能源汽车,"厂区食堂, 有无线网, 包吃包住, 恒温车间, 夫妻宿舍","五险, 签订劳动合同, 五险一金, 包吃包住, 恒温车间, 周末双休, 有无线网, 夫妻房, 2人间宿舍, 按时发薪"
医学编辑数据分析+周末双休+五险一金,重庆,山东易途人力资源有限公司,5000-6000元,无经验,本科,人力资源服务,医学编辑,"五险, 周末双休, 五险一金"
全国有岗位（开发、测试、算法、数据分析等,重庆,外企德科数字技术有限公司,1.9-3.5万·16薪,经验不限,本科,人力资源服务,,"五险一金, 社会保险, 绩效奖金, 带薪假期, 年终奖金, 项目奖金, 周末双休"
初级数据分析员（偏用户调研方向）,重庆,重庆卓典市场信息咨询有限公司,4000-6000元,经验不限,本科,咨询服务,"数据建模, 数据治理, SPSS",
医学标注数据分析朝九晚六周末双休五险一金,重庆,山东易途人力资源有限公司,5000-7000元,经验不限,本科,人力资源服务,临床数据分析,"周末双休, 住房补贴, 绩效奖金, 五险一金"
数据分析专员,重庆,顺丰速运,1-1.5万,1-3年,本科,货运/物流/仓储,数据分析,绩效奖金
数据分析员（用户调研方向）,重庆,重庆卓典市场信息咨询有限公司,6000-8000元,1-3年,本科,咨询服务,用户调研,
数据分析,重庆,山东本元码网络科技有限公司,6000-11000元·13薪,经验不限,大专,网络/信息安全,"数据治理, 数据挖掘",
数据分析专员,重庆,重庆西朗机械工业有限公司,5000-7000元,经验不限,本科,金属制品业,"数据治理, 数据挖掘","五险一金, 三餐免费"
销售数据分析员（五险一金双休）,重庆,重庆驭越企业管理有限公司,5000-8000元,1-3年,大专,投资/融资,销售数据分析,"五险一金, 带薪假期, 团建旅游, 零食/下午茶, 周末双休, 节日福利, 团建福利, 生日福利"
销售数据分析,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,5000-10000元,经验不限,本科,互联网金融/小额贷款,"全职, Python",
销售数据分析专员,重庆,重庆润通科技有限公司,6000-11000元·13薪,3-5年,本科,通用设备制造,,
数据分析师,重庆,重庆麦芽传媒有限公司,9000-15000元,3-5年,本科,广播/影视,"Sql, Python, 报表开发",
金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
数据分析师,重庆,重庆伊豪博机械设备有限公司,4000-6000元,经验不限,本科,电气机械/电力设备,,
市场调研分析专员,重庆,卓锦兰商业(上海)有限公司,4000-6000元,经验不限,大专,商业代理服务,"商业调研, 行业调研, 竞品调研",
医学标注数据分析朝九晚六周末双休五险一金,重庆,山东易途人力资源有限公司,5000-7000元,经验不限,本科,人力资源服务,临床数据分析,"周末双休, 住房补贴, 绩效奖金, 五险一金"
大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
调研报告撰写主管（双休+住宿补贴）,重庆,厦门莲桥企业管理咨询有限公司,5000-10000元,3-5年,硕士,咨询服务,数据分析,"周末双休, 五险一金"
金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
数据审核岗/双休/五险一金,重庆,山东易途人力资源有限公司,4000-6000元,经验不限,本科,人力资源服务,,"五险一金, 周末双休, 绩效奖金, 五险"
跨境网络案件人工智能大数据分析师,重庆,国开青旅集团有限公司,1.1-2.2万·14薪,经验不限,学历不限,房地产开发,,
大足诚聘数据员,重庆,重庆梦然人力资源管理有限公司,5000-6000元,经验不限,中专/中技,人力资源服务,,"4-8人间宿舍, 绩效奖金, 厂内有食堂, 夜班补贴, 交通补贴, 包住, 加班补贴, 餐饮补贴"
市场调研员,重庆,重庆意之锦商贸有限公司,4000-8000元,经验不限,大专,耐用消费品,"用户调研, 行业调研","高提成, 周末双休"
数据分析专员,重庆,顺丰速运,1-1.5万,1-3年,本科,货运/物流/仓储,数据分析,绩效奖金
数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
质量控制岗,重庆,京东集团,8000-15000元·16薪,5-10年,大专,互联网,"年终奖, 餐补, 五险一金, 商业保险, 单位体检, 数据分析, 质量控制","五险一金, 餐饮补贴, 商业保险, 单位体检, 年终奖金"
统计分析,重庆,重庆红驼动力科技有限公司,4000-5000元·13薪,3-5年,中专/中技,摩托车/自行车制造,"数据统计, 生产统计, 仓库统计",
【总部】售后分析岗,重庆,万友汽车,8000-12000元,1-3年,本科,汽车研发/制造,汽车售后分析,
数据分析师助理,重庆,重庆百计信用管理有限公司,3000-4000元,经验不限,本科,专业技术服务,"数据挖掘, 算法","单位体检, 五险一金, 绩效奖金, 带薪假期, 团建旅游, 节日福利, 周末双休"
运营管理助理,重庆,申通快递,5000-6000元,经验不限,本科,货运/物流/仓储,"数据分析, 运营管理, 时效运营, 成本管理, 质量管理",
大数据开发工程师,重庆,重庆卡歌科技有限公司,6000-10000元,1-3年,本科,计算机软件,"数据治理, 数据库开发",
数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
市场调研,重庆,贵州沿河泓睿矿业有限公司,6000-12000元,3-5年,学历不限,矿产/采掘,"行业调研, 产品调研, 商业调研",
大模型—RM搜索,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,"数据分析, 数据采集",
数据分析员（用户调研方向）,重庆,重庆卓典市场信息咨询有限公司,6000-8000元,1-3年,本科,咨询服务,用户调研,
数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
大数据工程师,重庆,重庆康洲大数据(集团)有限公司,9000-18000元,经验不限,大专,医药制造,"Spark, Kafka, Hive, Elasticsearch",
运营管培生,重庆,重庆异连科技有限公司,5000-7000元·13薪,经验不限,本科,互联网,数据分析,
