职位,城市,公司,薪资,经验,学历,领域,技能,福利
公司直招网约车司机,淮安,上海秦绅汽车租赁有限公司,1-1.5万,1-3年,学历不限,汽车研发/制造,C1驾驶证,工资周结
长白班月6K包吃住工作简单轻松,佛山,众智人力资源有限公司,6000-7000元,经验不限,学历不限,人力资源服务,"体检免费, 包住, 厂内食堂, 长白班, 包装工, 组装工, 检验员","4-8人间宿舍, 体检免费, 厂内有食堂, 包住, 午餐免费, 包吃包住"
东莞操作工坐班普通工衣月入7K,东莞,中航现代人力资源(深圳)有限公司,5000-6000元,经验不限,学历不限,企业服务,"包装工, 组装工, 检验员, 全职","签订劳动合同, 餐饮补贴, 包住, 包吃包住, 坐班, 按时发薪"
咖啡配送520/一天！日结！包吃住！上班时间自由！,广州,西安兵骑配送服务有限公司,400-500元/天,经验不限,学历不限,餐饮服务,"包住, 可预支薪水, 高温补贴, 节日福利, 底薪加提成","包住, 工资日结, 节日福利, 底薪加提成, 高提成, 包吃包住, 可预支薪水, 高温补贴"
全职（兼职）配送员,九江,江西黄甲山乳业有限公司,3000-4000元,经验不限,学历不限,农/林/牧/渔,D类驾驶证,
诚聘组装工 月入6000（包吃 日结）,厦门,厦门心无忧人力资源服务有限公司,5000-6000元,经验不限,学历不限,人力资源服务,可预支薪水,"工作餐免费, 包吃, 工资日结, 绩效奖金, 可预支薪水"
双休行政岗+双人间公寓,合肥,中国人民财产保险股份有限公司合肥市分公司,8000-10000元,经验不限,高中,保险,"个人客户, 周末双休, 客服","包住, 五险一金, 周末双休, 签订劳动合同, 绩效奖金, 高提成, 五险, 坐班"
短期送餐员月入8千以上配车提供住宿,天津,天津会聚网络科技有限公司,8000-10000元,经验不限,学历不限,人力资源服务,美团,"恶劣天气补贴, 礼品福利, 餐饮补贴, 包住, 晋升空间大, 全勤奖金, 高提成, 就近分配"
机场地勤值机包吃住做一休一,上海,安徽艺可航空有限公司,6000-8000元,经验不限,中专/中技,旅游服务,"机场值机员, 机场候机员, 机场接待员, 机场巡视员, 机场消毒员, 机场维修员, 安检, 机务, 白班","五险, 五险一金, 年终奖金, 4人间宿舍, 包吃包住"
高铁乘服 安检员 包吃住 五险一金,盘锦,河北蓝图铁路工程有限公司,4000-7000元,经验不限,中专/中技,人力资源服务,"五险一金, 包吃包住","五险一金, 包吃包住"
本地招聘纯上班帮车辆运营拿工资,南昌,四川聚众行科技有限公司,8000-11000元,经验不限,学历不限,客运服务,"C1驾驶证, C2驾驶证",
主管助理（包住+双休）,佛山,佛山市新生医疗科技有限公司,5000-10000元,经验不限,中专/中技,医疗设备/器械,"卫生管理, 销售管理","差旅补贴, 包住, 周末双休, 五险"
三桥崔告客服+有保底工资,西安,西安鑫汇优人力资源有限公司,6000-10000元,经验不限,高中,企业服务,"电话客服, 全白班, 无需经验, 工资高","团建福利, 无责底薪, 项目奖金, 五险一金, 带薪假期, 优秀员工奖, 节日福利, 高提成, 法定节假日休"
交行总部办公文员+双休+住宿+险金,合肥,一通天下,5000-10000元,经验不限,大专,运营商/增值服务,"售后客服, 电话客服, 网络客服, 全白班","节日福利, 五险一金, 包住, 带薪培训, 周末双休, 带薪假期, 项目奖金"
临沂焊工月薪过万稳定可靠,临沂,恒东特猎(青岛)人力资源有限公司,6000-7000元,经验不限,学历不限,企业服务,"二氧保护焊工艺, 包吃包住","4-8人间宿舍, 包吃包住, 工作餐免费, 工资月结, 包住, 绩效奖金, 六险一金"
售后理赔专员,沈阳,中国人寿保险股份有限公司沈阳市分公司大西路营销服务部,6000-8000元,经验不限,大专,保险,,"奖金加提成, 带薪培训, 法定节假日休, 周末双休, 晋升空间大"
高薪诚聘教务班主任+高提成+不加班+下午茶,郑州,河南天华教育科技有限公司,8000-12000元,经验不限,大专,互联网,,"餐饮补贴, 奖金加提成, 高提成, 零食/下午茶, 年终奖金, 团建旅游, 法定节假日休, 月度奖金"
急聘C1会开小厢式车司机,莆田,莆田余多多新能源汽车有限公司,9000-11000元,经验不限,学历不限,货运/物流/仓储,"C1驾驶证, 货运从业资格证, B2驾驶证, 面包车, 厢式货车, 集装箱车, 4米2货车, 6米2货车, 6米8货车, 短途货运, 长途货运, 同城配送",
诚招普工/操作工-全勤奖-四人间,宁波,泰乐茨人力资源开发(宁波)有限公司,7000-8000元,经验不限,学历不限,咨询服务,"月休四天, 操作工, 普工, 社会保险, 有无线网, 厂内食堂, 月结","月休四天, 有无线网, 厂内有食堂, 社会保险, 包吃包住, 工资月结"
沈北新区招聘保安3000+,沈阳,辽宁民安保安服务有限公司,2000-3000元,经验不限,学历不限,物业管理,,包吃包住
张贴广告招聘专员5000+高提成,深圳,深圳市乐骑信息咨询有限公司,5000-10000元,无经验,学历不限,搬家/生活配送,销售岗位招聘,"奖金加提成, 高提成"
电商客服,聊城,山东乐宝宠物食品有限公司,3000-6000元,3-5年,高中,农/林/牧/渔,"售前客服, 售后客服, 倒班制",
货运代理专员,大连,大连中熙国际货运代理有限公司,9000-10000元,经验不限,学历不限,货运/物流/仓储,"国际货运代理, 水上运输, 铁路运输, 航空运输","五险一金, 绩效奖金, 带薪假期, 团建旅游, 节日福利"
电话客服（无责4K＋双休）,武汉,武汉向小北一商务咨询有限公司,6000-12000元,经验不限,学历不限,银行,"售前客服, 双休, 带薪培训","五险, 团建福利, 绩效奖金, 高提成, 带薪假期, 生日福利, 周末双休, 节日福利, 带薪培训, 法定节假日休"
营业员储备干部,中山,中国联通中山分公司,6000-10000元,1-3年,大专,通信/网络设备,"五险一金, 高温补贴, 通信营业厅, 有销售经验","五险一金, 单位体检, 拓展培训, 高温补贴, 节日福利, 商业保险, 通讯补贴, 餐饮补贴, 高提成"
商务专员 支持异地居家办公,福州,温州赏金猎人网络科技有限公司,2000-4000元,经验不限,学历不限,互联网,"商务合作, 渠道合作","免费培训, 高提成"
兼职发传单200/天提供住宿,北京,北京嘉益佳康体有限公司,6000元,经验不限,学历不限,美发/美容/保健,,包住
居家娱乐主播,枣庄,抚顺领航者文化传媒有限公司,1.8-2.5万,经验不限,学历不限,文化艺术/娱乐,,带薪培训
保安员 -道里工部街附近,哈尔滨,哈尔滨一保保安服务有限公司,2000-3000元,经验不限,学历不限,人力资源服务,"退役军人优待证, 全白班, 周末双休, 机关单位",周末双休
售后服务专员,济南,中国人寿保险股份有限公司济南市分公司第四营销服务部,4000-6000元,经验不限,大专,保险,"全白班, 续保业务","五险, 节日福利, 周末双休, 住房补贴, 无责底薪, 生日福利"
健身房会籍顾问,郑州,郑州香堤湾酒店股份有限公司,5000-10000元,经验不限,学历不限,酒店/民宿,"门店销售, 电话销售, 面销/陌拜, 个人客户","五险一金, 包住, 包吃"
储备店长,新乡,河南正朔供应链有限责任公司,4000-8000元,经验不限,高中,零售/批发,"健康养生店, 有销售经验和沟通能力",
大专本科优先 房产置业顾问 月薪8000+,上海,上海太屋网络科技有限公司,1.5-2万,经验不限,大专,房地产开发,"住宅房产, 商业房产, 办公房产, 二手房",
跟车配送员,深圳,深圳邦安物流有限公司,5000-6000元,经验不限,高中,货运/物流/仓储,"包住, 高温补贴, 节日福利","包住, 节日福利, 高温补贴"
销售储备干部,沈阳,中企动力科技股份有限公司,4000-6000元,经验不限,大专,互联网,,"五险一金, 绩效奖金, 工伤保险, 带薪假期, 失业保险, 生育保险, 住房公积金, 商业医疗险, 无责底薪, 养老保险, 团建旅游, 节日福利, 高提成, 团建福利"
客服专员,北京,北京神易好车网络科技有限公司,5000-7000元,1-3年,学历不限,汽车智能互联,"投诉客服, 售后客服, 电话客服, 全白班","五险一金, 法定节假日休"
网络销售8000-12000/月,广州,广州晟弘实业有限公司,6000-12000元,无经验,大专,互联网,"网络销售, 电商营销","五险一金, 法定节假日休, 绩效奖金, 带薪假期, 全勤奖金, 拓展培训, 优秀员工奖, 带薪培训, 高提成"
茶百道奶茶店店员,深圳,深圳新连心实业有限公司创业园店,4000-6000元,经验不限,初中及以下,新零售,"奶茶店, 奶茶师, 加班补贴, 免费工装","加班补贴, 免费工装"
餐饮前厅巡店督导,太原,太原金绣源餐饮管理有限公司,5000-7000元,经验不限,中专/中技,餐饮服务,"直营店, 门店运营",
招聘专员,成都,成都富房天策房地产营销策划有限公司,6000-8000元,1年以下,大专,房地产开发,"销售岗招聘, 社会招聘, 网络招聘, 校园招聘","五险一金, 高提成, 绩效奖金"
跟单文员,十堰,湖北南桂铝业集团有限公司,4000-7000元,经验不限,大专,钢铁/有色金属冶炼及加工,生产跟单,
保安员,南通,南通科兴科技发展有限公司,3000-5000元,3-5年,学历不限,新能源,,
游戏主播,临沂,临沂正佳文化传媒有限公司,9000-18000元,经验不限,学历不限,文化艺术/娱乐,"游戏主播, 才艺主播",高提成
房产经纪人,苏州,苏州聚铭天下房地产营销策划有限公司,1-1.1万,经验不限,大专,房地产中介,"住宅房产, 商业房产, 办公房产, 新房, 二手房, 别墅, 区域销售, 门店销售, 电话销售, 年终奖金, 团建福利, 带薪培训, 带薪年假, 高提成","带薪培训, 高提成, 团建福利, 就近分配, 带薪假期, 年终奖金"
剪辑,太原,山西铭扬影视传媒有限公司,3000-6000元,经验不限,大专,新媒体,"电视剧, 电影, 综艺",
配送员,北京,北京中域科祥医药科技有限公司,5000-6000元,经验不限,高中,医药制造,节日福利,节日福利
家具安装工,南通,上海贝业新兄弟供应链管理有限公司,5000-10000元,经验不限,学历不限,货运/物流/仓储,,
医药代表,洛阳,麦肯(福建)医药集团有限公司,1-1.5万,经验不限,学历不限,医药批发/零售,"OTC药品, 处方药, 西药, 诊所, 药店, 卫生室, 全科医疗科, 华中大区, 区域销售",
水电工,长沙,湖南云庭园林绿化工程有限公司,7000-9000元,3-5年,高中,房地产开发,"电工职业资格证书, 电工职业资格证书（初级）",
高薪客服长白班双休,南宁,本初人力资源,6000-12000元,经验不限,中专/中技,人力资源服务,"网络客服, 全白班","带薪假期, 季度奖金, 零食/下午茶, 高提成, 带薪培训, 周末双休, 社会保险"
门窗行业销售经理,沈阳,辽宁鹰格门窗有限公司,5000-10000元,1-3年,学历不限,装饰装修,代理商/经销商,
医药销售代表,贵阳,贵州九医堂医疗器械有限公司,8000-12000元,经验不限,大专,医疗设备/器械,"中药, 药食同源, 中药销售","团建福利, 五险一金, 带薪培训, 周末双休, 年终奖金, 包住, 一对一培训, 高提成"
山西朔州商务经理,朔州,北京达飞安评管理顾问有限公司,8000-12000元,3-5年,大专,专业技术服务,"商务合作, 面销/陌拜, 政府客户, 企业客户","单位体检, 绩效奖金, 带薪假期, 周末双休, 通讯补贴, 节日福利, 餐饮补贴, 高提成, 五险"
网约车高德打车自营司机,长沙,湖南沃喜汽车销售服务有限公司,7000-12000元,经验不限,学历不限,新能源汽车,"商业保险, 底薪加提成, 弹性工作制, 全职兼职均可","底薪加提成, 商业保险, 高提成, 工资周结"
销售助理,上海,兆科药业(广州)有限公司,6000-8000元·13薪,1年以下,大专,医药制造,"销售助理, 行政专员, 考勤",
综合标书文员,佛山,佛山市迪卡伦家具有限公司,5000-10000元,经验不限,大专,家具制造,投标,包住
项目经理助理,福州,福清鑫荣金属制品有限公司,5000-6000元,经验不限,中专/中技,工程施工,,
