id,position,city,company,salary,experience,education,industry,skills,benefits,search_keyword,links,numbers
1,互联网IT销售顾问,无锡,无锡中星互联科技有限公司,6000-12000元,经验不限,学历不限,电子商务,"企业客户, 电话销售, 网络销售","五险一金, 五险, 免费培训, 带薪培训, 法定节假日休, 签订劳动合同, 周末双休",互联网IT,http://jobs.zhaopin.com/CCL1463605190J40764161105.htm,招5人
2,互联网IT销售经理,郑州,河南升恒帮企服务有限公司,4000-8000元,1-3年,大专,电子商务,"企业客户, 个人客户, KA大客户","带薪假期, 高提成, 节日福利, 现金福利, 年终奖金, 社会保险, 绩效奖金, 法定节假日休, 按时发薪",互联网IT,http://jobs.zhaopin.com/CCL1471559470J40707582907.htm,招5人
3,技术处理/免费住宿/双休,成都,成都泰盈科技有限公司,5000-8000元,无经验,大专,互联网,"系统维护, IT设备维护","包住, 周末双休",互联网IT,http://jobs.zhaopin.com/CCL1307410870J40731439402.htm,招10人
4,IT售前工程师,赤峰,内蒙古东科信息技术有限公司,6000-9000元,经验不限,大专,互联网,"网络运维, 软件运维, Sql, Shell, Python",,互联网IT,http://jobs.zhaopin.com/CCL1485155470J40781347203.htm,招1人
5,互联网IT销售顾问,咸宁,咸安区美英传媒工作室(个体工商户),5000-10000元·25薪,经验不限,学历不限,新媒体,"面销, 网络销售, 渠道销售, 面销/陌拜",,互联网IT,http://jobs.zhaopin.com/CCL1492380850J40721580612.htm,招1人
6,IT互联网产品经理,杭州,苏州人瑞普惠人力资源服务有限公司,1.5-2万,5-10年,本科,互联网,"Axure, 产品规划, Sketch",拓展培训,互联网IT,http://jobs.zhaopin.com/CC427775130J40825004015.htm,招5人
7,it信息技术专员,广州,广东捷聘企业管理有限公司,9000-13000元,经验不限,学历不限,人力资源服务,,,互联网IT,http://jobs.zhaopin.com/CCL1485726410J40746317014.htm,招1人
8,IT综合办公,绵阳,绵阳安州区博诚嘉立物业管理有限责任公司,3000-4000元,1-3年,大专,物业管理,"资料管理, 行政管理","晋升空间大, 五险, 五险一金, 餐饮补贴, 法定节假日休, 单位体检, 周末双休",互联网IT,http://jobs.zhaopin.com/CCL1441851150J40428068011.htm,招1人
9,互联网IT销售顾问【周末双休+五险一金】,天津,融合通信,8000-16000元·14薪,1-3年,大专,运营商/增值服务,"企业客户, KA大客户, 政府客户","五险一金, 奖金加提成, 单位体检, 带薪假期, 通讯补贴, 团建旅游, 周末双休, 餐饮补贴, 五险, 节日福利, 拓展培训, 年终奖金, 绩效奖金",互联网IT,http://jobs.zhaopin.com/CC322092230J40689930912.htm,招1人
10,互联网IT大客户代表,郑州,河南龙翼信息技术有限公司,1-1.6万,3-5年,学历不限,IT服务,,,互联网IT,http://jobs.zhaopin.com/CC394795810J40717646711.htm,招1人
11,it技术助理,深圳,深圳市跃彬科技有限公司,4000-6000元,经验不限,大专,计算机软件,"系统维护, 软件测试","五险一金, 节日福利, 绩效奖金, 带薪假期, 餐饮补贴",互联网IT,http://jobs.zhaopin.com/CCL1493543890J40741971907.htm,招1人
12,信息技术助理13薪（可小白，理工优先）,杭州,江西赢惠科网络科技有限责任公司,8000-10000元·13薪,1-3年,本科,云计算/大数据,"机房服务器维护, 网络维护, 系统维护, 固定资产管理, IT设备维护","包住, 五险, 十三薪, 周末双休",互联网IT,http://jobs.zhaopin.com/CCL1461852010J40751658612.htm,招5人
13,互联网IT渠道经理,长沙,湖南蓝威电脑有限公司,6000-11000元,1-3年,高中,计算机硬件,代理商/经销商,"绩效奖金, 节日福利, 包吃, 全勤奖金, 五险",互联网IT,http://jobs.zhaopin.com/CC144641080J40686317701.htm,招4人
14,互联网IT销售经理,三门峡,成都米橙璞广告传媒有限公司,2-4万·13薪,1-3年,中专/中技,互联网,"渠道销售, 区域销售, KA大客户","五险一金, 绩效奖金, 无责底薪, 奖金加提成, 股票期权, 年终分红, 全勤奖金, 高提成, 团建福利, 周末双休",互联网IT,http://jobs.zhaopin.com/CCL1415920260J40698105016.htm,招10人
15,文员,大同,山西企大企业管理咨询有限公司,3000-5000元,经验不限,大专,互联网,,,互联网IT,http://jobs.zhaopin.com/CC408703130J40837655715.htm,招10人
16,【可远程办公】IT技术文员/助理,全国,南京睦泽信息科技有限公司,15-25元/时,经验不限,大专,IT服务,,,互联网IT,http://jobs.zhaopin.com/CC213541580J40599945505.htm,招10人
17,工业互联网+危化安全生产信息化系统技术支持,长治,青岛安然物联网科技有限公司,7000-14000元,经验不限,本科,物联网,"软件产品, 硬件产品",,互联网IT,http://jobs.zhaopin.com/CC559764920J40822993004.htm,招1人
18,互联网IT销售工程师,郑州,郑州海铭威科技有限公司,9000-15000元,3-5年,本科,计算机软件,"KA大客户, 企业客户, 个人客户, 区域销售, 渠道销售",,互联网IT,http://jobs.zhaopin.com/CCL1478462990J40703437214.htm,招10人
19,IT基础技术 理工科 双休,成都,成都泰盈科技有限公司,5000-8000元,经验不限,大专,互联网,"全职, 地铁口, 双休",周末双休,互联网IT,http://jobs.zhaopin.com/CCL1307410870J40674748602.htm,招10人
20,it服务电话销售,成都,成都蛮王科技有限公司,9000-18000元,经验不限,学历不限,电子商务,"电话销售经验, 双休, 社保, 企业客户, 个人客户","团建福利, 周末双休, 晋升公开透明, 无责底薪, 带薪假期, 高提成, 法定节假日休",互联网IT,http://jobs.zhaopin.com/CCL1492914310J40730967702.htm,招1人
21,互联网IT销售经理,开封,四川信晟德科技有限公司,1.5-3万,1-3年,中专/中技,互联网,"渠道销售, 区域销售, 代理商销售","五险一金, 绩效奖金, 无责底薪, 奖金加提成, 股票期权, 年终分红, 全勤奖金, 高提成, 团建福利, 周末双休",互联网IT,http://jobs.zhaopin.com/CCL1485229270J40762134213.htm,招1人
22,开发工程师助理,郑州,郑州煦秋信息科技有限公司,6000-8000元,经验不限,大专,计算机软件,,"年终分红, 法定节假日休, 五险一金, 全勤奖金, 绩效奖金, 高提成, 带薪假期, 十三薪",互联网IT,http://jobs.zhaopin.com/CCL1374253970J40477715213.htm,招10人
23,管培生（it方向）,芜湖,天阳科技,5000-7000元,经验不限,本科,计算机软件,"性能测试, 功能测试","单位体检, 五险一金, 股票期权, 带薪假期, 节日福利",互联网IT,http://jobs.zhaopin.com/CC120408370J40165274108.htm,招8人
24,互联网IT销售经理,平顶山,四川信晟德科技有限公司,1.5-3万,1-3年,中专/中技,互联网,"区域销售, 渠道销售","五险一金, 绩效奖金, 无责底薪, 奖金加提成, 股票期权, 年终分红, 全勤奖金, 高提成, 团建福利, 周末双休",互联网IT,http://jobs.zhaopin.com/CCL1485229270J40762142813.htm,招5人
25,互联网IT销售工程师,合肥,安徽三马信息科技有限公司,5000-8000元,3-5年,大专,IT服务,"KA大客户, 企业客户, 政府客户, 面销/陌拜, 区域销售, 能源系统软件、节能技改项目",,互联网IT,http://jobs.zhaopin.com/CC661472020J40704760416.htm,招1人
26,互联网it销售,北京,北京华豫天成科技有限公司,5000-10000元,1-3年,高中,通信/网络设备,,,互联网IT,http://jobs.zhaopin.com/CCL1274050390J40656071002.htm,招10人
27,it信息技术专员,广州,朗途人力资源管理有限公司,9000-12000元,经验不限,学历不限,咨询服务,,,互联网IT,http://jobs.zhaopin.com/CCL1318059950J40728505811.htm,招1人
28,it技术支持工程师\助理\实习,成都,四川新智极机械有限公司,3000-5000元,经验不限,大专,电气机械/电力设备,"Windows, 桌面运维, 网络运维",,互联网IT,http://jobs.zhaopin.com/CCL1461778460J40425720102.htm,招3人
